№ Секунда Микросекунда
1 26 491444
2 26 507546
3 26 522836
4 26 538105
5 26 553217
6 26 568452
7 26 583843
8 26 599247
9 26 614807
10 26 630873
11 26 646122
12 26 660766
13 26 676750
14 26 692704
15 26 708663
16 26 724622
17 26 740577
18 26 756542
19 26 772596
20 26 787773
21 26 802949
22 26 818472
23 26 833877
24 26 849364
25 26 864565
26 26 880687
27 26 896270
28 26 912390
29 26 927720
30 26 943803
31 26 958606
32 26 974242
33 26 989479
34 27 5466
35 27 21394
36 27 37352
37 27 53335
38 27 69292
39 27 85248
40 27 101276
41 27 117379
42 27 133433
43 27 148652
44 27 163853
45 27 179114
46 27 194724
47 27 210423
48 27 225668
49 27 240860
50 27 256034
51 27 271330
52 27 286834
53 27 302737
54 27 317992
55 27 333791
56 27 348941
57 27 364415
58 27 380026
59 27 395987
60 27 412022
61 27 427975
62 27 443914
63 27 459935
64 27 476160
65 27 492005
66 27 507173
67 27 522688
68 27 537879
69 27 553895
70 27 569736
71 27 585735
72 27 601852
73 27 617000
74 27 632859
75 27 648731
76 27 664391
77 27 680464
78 27 695357
79 27 711383
80 27 727415
81 27 742775
82 27 758665
83 27 773874
84 27 789160
85 27 804478
86 27 820577
87 27 835508
88 27 851607
89 27 866940
90 27 882886
91 27 898381
92 27 914198
93 27 929438
94 27 944777
95 27 959993
96 27 976094
97 27 991900
98 28 7313
99 28 22821
100 28 38092
101 28 53644
102 28 68925
103 28 84254
104 28 100025
105 28 115227
106 28 130493
107 28 145845
108 28 161603
109 28 176823
110 28 192638
111 28 207945
112 28 223677
113 28 238992
114 28 255000
115 28 270335
116 28 286442
117 28 302460
118 28 317646
119 28 333656
120 28 348937
121 28 364092
122 28 379375
123 28 395501
124 28 410984
125 28 426310
126 28 442340
127 28 458005
128 28 473638
129 28 488863
130 28 504982
131 28 520180
132 28 535315
133 28 550326
134 28 565602
135 28 580740
136 28 595978
137 28 612002
138 28 627241
139 28 642374
140 28 658101
141 28 673780
142 28 689188
143 28 704616
144 28 719959
145 28 735133
146 28 750020
147 28 765549
148 28 781662
149 28 796891
150 28 812309
151 28 827708
152 28 842916
153 28 858256
154 28 873444
155 28 888604
156 28 904820
157 28 920937
158 28 936937
159 28 952930
160 28 968153
161 28 983976
162 28 999357
163 29 14701
164 29 30889
165 29 47025
166 29 63094
167 29 78170
168 29 94162
169 29 109543
170 29 124830
171 29 140706
172 29 156082
173 29 171817
174 29 186864
175 29 202163
176 29 217386
177 29 233468
178 29 248795
179 29 264752
180 29 280005
181 29 295214
182 29 311059
183 29 326406
184 29 349346
185 29 373285
186 29 389279
187 29 405335
188 29 420347
189 29 435467
190 29 451478
191 29 467523
192 29 483581
193 29 498607
194 29 513622
195 29 529738
196 29 545732
197 29 561719
198 29 576644
199 29 591694
200 29 606732
201 29 621744
202 29 637821
203 29 653845
204 29 668736
205 29 684110
206 29 698741
207 29 714020
208 29 729847
209 29 745738
210 29 761729
211 29 776749
212 29 791840
213 29 807900
214 29 823749
215 29 839754
216 29 855715
217 29 871718
218 29 886874
219 29 902976
220 29 918872
221 29 933756
222 29 949843
223 29 965933
224 29 981779
225 29 997752
226 30 13760
227 30 28887
228 30 44642
229 30 59476
230 30 75116
231 30 90331
232 30 105440
233 30 120745
234 30 135375
235 30 150875
236 30 166092
237 30 181850
238 30 197737
239 30 213737
240 30 229829
241 30 245924
242 30 261744
243 30 276907
244 30 292884
245 30 308873
246 30 324952
247 30 339751
248 30 355756
249 30 370859
250 30 386914
251 30 402478
252 30 417735
253 30 432963
254 30 449041
255 30 465061
256 30 480299
257 30 495437
258 30 510772
259 30 525887
260 30 541051
261 30 556956
262 30 573074
263 30 589044
264 30 605029
265 30 620733
266 30 635848
267 30 650908
268 30 665734
269 30 680879
270 30 696064
271 30 711891
272 30 727760
273 30 743746
274 30 758872
275 30 774735
276 30 789923
277 30 805579
278 30 821732
279 30 837656
280 30 853771
281 30 869759
282 30 884506
283 30 899644
284 30 915695
285 30 930913
286 30 946225
287 30 961567
288 30 976764
289 30 992430
290 31 7787
291 31 23836
292 31 39974
293 31 55244
294 31 70523
295 31 85803
296 31 101018
297 31 116243
298 31 131387
299 31 146743
300 31 161904
